District,School ID,School name,City,School total,Report period,Date updated
Naugatuck School District,2409,Naugatuck Day Care,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2410,Cross Street Intermediate School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2411,Naugatuck YMCA Preschool and Early Learning Center,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2412,Maple Hill School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2413,Salem Community Child Care Center,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2414,Hillside Intermediate School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2415,"CW Resources, Inc. School to Work Transition Services - Naugatuck",Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2416,Hop Brook Elementary School,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2417,IPPI Learning Academy at Prospect St. School,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2418,Salem School,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2419,Western School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2420,Andrew Avenue School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2421,Genesis Academy,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2422,Naugatuck Community Program,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2423,City Hill Middle School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2424,Naugatuck High School,Naugatuck,<6,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2425,Head Start,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,2426,Central Avenue Preschool,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,3206,"Innovative Children's Environmental Services, Inc. - ICES",Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
Naugatuck School District,3228,Mesivta Yesodei Hatorah,Naugatuck,0,01/07/2021-01/13/2021,01/14/2021
